company_name,year,cluster_label,cluster,financial_health_score,net_profit_margin_percentage,gross_profit_margin_percentage,ebitda_margin_percentage,current_ratio,debt_equity_ratio,roe,roa,roi,asset_turnover_ratio,cfo_percentage,cfi_percentage,cff_percentage,revenue,net_income,market_capitalization
MCD,2010,Healthy,0,63.090403756270476,20.54572,40.030987,36.342452,1.4937,0.7862,33.7996,15.4692,18.9287,0.921001,1138.732268,-369.186569,-669.545699,24074.6,4946.3,102.66
MCD,2011,Healthy,0,78.25908493308596,20.377324,39.571206,36.824039,1.2547,0.8687,38.242,16.6812,20.7476,1.004278,15476.406926,-5564.718615,-9811.688312,27006.0,5503.1,88.56
MCD,2012,Healthy,0,47.442050911316656,19.823702,39.236406,36.612979,1.4464,0.8914,35.7326,15.4432,18.8923,0.953008,-13659.019608,6210.392157,7548.627451,27567.0,5464.8,96.55
MCD,2013,Healthy,0,63.75055226712877,19.874616,38.791775,36.823136,1.5931,0.8826,34.8907,15.2511,18.5335,0.932509,1762.985888,-661.995543,-1000.990344,28105.7,5585.9,91.19
MCD,2014,Healthy,0,58.19233858960692,17.3381,38.102058,34.960807,1.5232,1.162,37.0159,13.9006,17.1211,0.987486,-3489.00985,1194.867807,2394.142043,27441.3,4757.8,108.48
MCD,2015,Healthy,0,62.04292866632415,17.822768,38.520442,34.239169,3.2684,3.4033,63.9019,11.9385,14.5123,0.814254,111.695477,-24.255261,12.559784,25413.0,4529.3,101.08
MCD,2016,Healthy,0,61.41414180489835,19.033868,41.445624,37.612857,1.398,-11.775,-212.6069,15.1061,19.7958,1.036653,-97.982019,15.872195,182.109825,24621.9,4686.5,137.21
MCD,2017,Healthy,0,62.33942386692334,22.752888,46.540814,47.834832,1.8429,-9.0381,-158.8832,15.3602,19.7663,0.868736,691.824526,70.03988,-661.864407,22820.4,5192.3,136.89
MCD,2018,Healthy,0,61.2012023147583,27.868698,50.957997,48.474214,1.3631,-4.9654,-94.6616,18.0557,23.872,0.856584,-484.471488,170.730181,413.741307,21257.9,5924.3,148.82
MCD,2019,Healthy,0,77.02936006024886,28.202992,52.327236,50.025744,0.9826,-4.1627,-73.3883,12.6822,23.2571,0.822761,14452.135231,-5464.590747,-8887.544484,21364.4,6025.4,159.89
MCD,2020,Healthy,0,62.0261005630052,24.628016,50.771562,47.248514,1.01,-4.7848,-60.4545,8.9888,17.2823,0.648569,253.610751,-62.572863,-91.037889,19207.8,4730.5,200.31
MCD,2021,Healthy,0,62.322872379179195,32.490344,54.171529,52.638129,1.7782,-7.7424,-163.9903,14.0104,24.3223,0.7486,662.331546,-156.912042,-405.419504,23222.9,7545.2,193.02
